A	B
0.124	-129.94352
0.1241	-129.79067
0.1242	-129.6376
0.1243	-129.48432
0.1244	-129.33083
0.1245	-129.17711
0.1246	-129.02318
0.1247	-128.86903
0.1248	-128.71467
0.1249	-128.56009
0.125	-128.4053
0.1251	-128.25029
0.1252	-128.09506
0.1253	-127.93962
0.1254	-127.78397
0.1255	-127.62811
0.1256	-127.47203
0.1257	-127.31574
0.1258	-127.15925
0.1259	-127.00254
0.126	-126.84563
0.1261	-126.68851
0.1262	-126.53119
0.1263	-126.37366
0.1264	-126.21594
0.1265	-126.05801
0.1266	-125.89988
0.1267	-125.74156
0.1268	-125.58304
0.1269	-125.42432
0.127	-125.26542
0.1271	-125.10633
0.1272	-124.94705
0.1273	-124.78758
0.1274	-124.62793
0.1275	-124.4681
0.1276	-124.30809
0.1277	-124.14791
0.1278	-123.98755
0.1279	-123.82702
0.128	-123.66632
0.1281	-123.50545
0.1282	-123.34442
